Pred	Coding.Potential	ORF.Max.Len	ORF.Max.Cov	Seq.lnc.Dist	Seq.pct.Dist	Seq.Dist.Ratio	Signal.Peak	SNR	Signal.Min	Signal.Q1	Signal.Q2	Signal.Max
FNDC3B	Coding	0.980063975928418	3615	0.450130743369443	-1.60126142825451	-1.35774136570489	1.17935673810984	30.0982185699989	0.250884317765812	7.81941168897505	8.75658060154632	10.4124018561083	102.30463315943
Lgr4	Coding	0.968922293917261	2784	0.53765932792584	-2.32543337460383	-1.91630362155804	1.21349944155152	23.0398652102296	0.299860143984154	5.05202514599091	5.77776511612915	6.64968813432116	57.8952923908551
PPP1R12A	Coding	0.928758764931183	2925	0.550743739408774	-2.38382409703267	-2.06023233367865	1.15706566587868	89.7123043617713	1.13796613909714	4.82835932141561	5.50845108606387	6.45642104183485	89.7123043617713
SHPRH	Coding	0.977940905783499	4725	0.930301240401654	-1.13180383180823	-0.915386859233454	1.23642132328184	59.1412282300013	0.796581007905381	5.45516126202089	6.18918637215929	7.07507440786575	59.1412282300014
ZNF609	Coding	0.868815356204353	4236	0.48169206277007	-1.3906012119614	-1.26589229118983	1.09851463796683	73.3571056655027	0.572606344503677	9.86521671969512	11.2904475401133	12.8996133783763	83.5930567625228
AKT3	Coding	0.968707332249594	1398	0.806228373702422	-6.13448762299275	-5.32233808662755	1.15259262435916	8.57999493	0.339276017268937	1.84516703974257	2.15107364399973	2.3715669093403	8.57999493
SclA	NonCoding	1.51807060033704e-07	135	0.136088709677419	-87.5538533028697	-78.7066481804032	1.1124073420353	1.70375696884209	0.11221807854562	0.871698803534155	0.959703131880526	1.04666075979057	2.63406594842769
SclB	NonCoding	1.05927345006585e-07	135	0.141509433962264	-87.5538533028697	-78.7066481804032	1.1124073420353	1.38558538445548	0.0950323365548556	0.878816706590701	0.957995240951525	1.07568813088134	2.6006485854618
PIK3CD-AS2	NonCoding	1.35690177183179e-06	156	0.158697863682604	-75.0949670235222	-67.5488077338345	1.11171417442958	0.833209458230042	0.0589921800189773	1.06891178898784	1.17266729034173	1.47034947842504	2.63758110098209
LINC01420	NonCoding	0.000945581942754625	207	0.0883105802047782	-55.3185421008732	-49.7114957978404	1.11279174390235	1.44763877759708	0.0403096345126101	1.87835647304535	2.13730180992622	2.56168176261338	5.9621044981632
LINC00847	NonCoding	0.0396964640539617	393	0.217247097844113	-27.4606469143016	-24.3869662910654	1.12603784277843	1.25349031313912	0.0476029971751242	1.93464271567814	2.35541207850682	2.69415203332059	9.76304715290556
ZNF674-AS1	NonCoding	0.000270264033179646	225	0.118048268625393	-50.4520602938907	-45.1451032034905	1.11755332724524	2.92696965068033	0.103756938701318	2.01755799271726	2.28900712731153	2.77085685131177	6.88262101182041
LINC-PINT	NonCoding	0.00468426995003401	264	0.0807833537331701	-42.6804565947531	-38.2447591120246	1.11598183870725	7.44730229074088	0.155780381424679	3.43755565505466	3.88476570435782	4.47445563221298	33.8782638594801
LIFR-AS1	NonCoding	0.00419999380558622	243	0.063896923481462	-46.2722529640515	-41.5439619998329	1.11381415581493	2.85338830621663	0.0511578716108941	3.87642909850029	4.4770468034995	5.15921374408292	42.0307750828403
LINC00961	NonCoding	0.012942505469099	294	0.183177570093458	-37.9440720965126	-33.8848612832468	1.11979422844126	3.83828656820783	0.165347492640891	1.8438057640754	2.01493414563968	2.33928564544062	11.0988330337052
FBXW7-AS1	NonCoding	9.99999999473644e-08	159	0.452991452991453	-73.6267581063842	-66.0093938628902	1.11539818498131	0.434129920089019	0.0811570982164211	0.30566079710049	0.326225462264291	0.407201193011468	0.739620570806405
PRR7-AS1	NonCoding	0.000146893458386588	210	0.283400809716599	-54.5756865981625	-48.9950681276846	1.11390163711854	0.879976890916929	0.0814117872304803	0.884201393876693	0.990710023339145	1.25228810590891	2.23199700984851
